scenario,n_person,k_per_condition,scenario_label,base,guessing,person_intercept_sd,memory_score_slope,item_intercept_sd,delta,person_slope_sd,item_slope_sd,memory_moderation,interpretation,total_words,person_slope_sd_unmodeled,effect_sampling_sd_unmodeled,effect_sampling_sd_memory_adjusted,effect_signal_ratio_unmodeled,effect_signal_ratio_memory_adjusted,main_bottleneck
alpha_high_effect_stable,120,5,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,10,0.05,0.016457014715109585,0.016457014715109585,0.99951875023137,0.99951875023137,items
alpha_high_effect_stable,120,10,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,20,0.05,0.0120761472884912,0.0120761472884912,0.9997408079386827,0.9997408079386827,items
alpha_high_effect_stable,120,15,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,30,0.05,0.010206207261596576,0.010206207261596576,0.9998148491020181,0.9998148491020181,items
alpha_high_effect_stable,120,30,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,60,0.05,0.007905694150420948,0.007905694150420948,0.9998889012331964,0.9998889012331964,items
alpha_high_effect_stable,120,60,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,120,0.05,0.006454972243679028,0.006454972243679028,0.9999259314124879,0.9999259314124879,both
alpha_high_effect_stable,120,100,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,200,0.05,0.005773502691896258,0.005773502691896258,0.9999407442521925,0.9999407442521925,participants
alpha_high_effect_stable,300,5,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,10,0.05,0.016072751268321594,0.016072751268321594,0.9995409515629858,0.9995409515629858,items
alpha_high_effect_stable,300,10,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,20,0.05,0.011547005383792516,0.011547005383792516,0.9997630191362048,0.9997630191362048,items
alpha_high_effect_stable,300,15,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,30,0.05,0.009574271077563382,0.009574271077563382,0.9998370635896372,0.9998370635896372,items
alpha_high_effect_stable,300,30,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,60,0.05,0.007071067811865476,0.007071067811865476,0.9999111190116434,0.9999111190116434,items
alpha_high_effect_stable,300,60,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,120,0.05,0.005400617248673217,0.005400617248673217,0.9999481508366234,0.9999481508366234,items
alpha_high_effect_stable,300,100,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,200,0.05,0.004564354645876385,0.004564354645876385,0.9999629643346543,0.9999629643346543,both
alpha_high_effect_stable,500,5,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,10,0.05,0.015968719422671314,0.015968719422671314,0.999546872084655,0.999546872084655,items
alpha_high_effect_stable,500,10,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,20,0.05,0.011401754250991382,0.011401754250991382,0.9997689422888933,0.9997689422888933,items
alpha_high_effect_stable,500,15,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,30,0.05,0.00939858145324779,0.00939858145324779,0.9998429876197219,0.9998429876197219,items
alpha_high_effect_stable,500,30,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,60,0.05,0.006831300510639733,0.006831300510639733,0.9999170439193193,0.9999170439193193,items
alpha_high_effect_stable,500,60,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,120,0.05,0.005082650227325636,0.005082650227325636,0.999954076183168,0.999954076183168,items
alpha_high_effect_stable,500,100,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,200,0.05,0.004183300132670378,0.004183300132670378,0.99996888985676,0.99996888985676,items
alpha_high_effect_stable,1000,5,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,10,0.05,0.015890248582070707,0.015890248582070707,0.9995513125219346,0.9995513125219346,items
alpha_high_effect_stable,1000,10,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,20,0.05,0.011291589790636216,0.011291589790636216,0.9997733846994682,0.9997733846994682,items
alpha_high_effect_stable,1000,15,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,30,0.05,0.009264628073124864,0.009264628073124864,0.9998474306883542,0.9998474306883542,items
alpha_high_effect_stable,1000,30,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,60,0.05,0.006645800679125629,0.006645800679125629,0.9999214876461553,0.9999214876461553,items
alpha_high_effect_stable,1000,60,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,120,0.05,0.00483045891539648,0.00483045891539648,0.9999585202391603,0.9999585202391603,items
alpha_high_effect_stable,1000,100,"High alpha, stable effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.05,0,Alpha and effect model agree; low item/person treatment heterogeneity.,200,0.05,0.0038729833462074173,0.0038729833462074173,0.9999733340444255,0.9999733340444255,items
alpha_high_item_sensitive,30,5,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,10,0.05,0.2057506581601462,0.2057506581601462,0.9300082667401488,0.9300082667401488,items
alpha_high_item_sensitive,30,10,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,20,0.05,0.14563081175813494,0.14563081175813494,0.9636662145763437,0.9636662145763437,items
alpha_high_item_sensitive,30,15,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,30,0.05,0.11902380714238084,0.11902380714238084,0.9754335260115607,0.9754335260115607,items
alpha_high_item_sensitive,30,30,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,60,0.05,0.08440971508067066,0.08440971508067066,0.9874917709019091,0.9874917709019091,items
alpha_high_item_sensitive,30,60,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,120,0.05,0.06003471218109292,0.06003471218109292,0.9936333860817724,0.9936333860817724,items
alpha_high_item_sensitive,30,100,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,200,0.05,0.046859719731698495,0.046859719731698495,0.9961114759420633,0.9961114759420633,items
alpha_high_item_sensitive,60,5,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,10,0.05,0.20564937798755112,0.20564937798755112,0.930072338959697,0.930072338959697,items
alpha_high_item_sensitive,60,10,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,20,0.05,0.14548768561863462,0.14548768561863462,0.9637350085665334,0.9637350085665334,items
alpha_high_item_sensitive,60,15,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,30,0.05,0.11884864324004714,0.11884864324004714,0.975504010405376,0.975504010405376,items
alpha_high_item_sensitive,60,30,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,60,0.05,0.08416254115301731,0.08416254115301731,0.9875640087783467,0.9875640087783467,items
alpha_high_item_sensitive,60,60,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,120,0.05,0.059686681931566614,0.059686681931566614,0.9937065253395163,0.9937065253395163,items
alpha_high_item_sensitive,60,100,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,200,0.05,0.04641300105214774,0.04641300105214774,0.9961849804821535,0.9961849804821535,items
alpha_high_item_sensitive,120,5,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,10,0.05,0.20559871919186007,0.20559871919186007,0.9301043783802404,0.9301043783802404,items
alpha_high_item_sensitive,120,10,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,20,0.05,0.1454160697217929,0.1454160697217929,0.9637694092450474,0.9637694092450474,items
alpha_high_item_sensitive,120,15,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,30,0.05,0.1187609644060988,0.1187609644060988,0.9755392564223001,0.9755392564223001,items
alpha_high_item_sensitive,120,30,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,60,0.05,0.08403868156985807,0.08403868156985807,0.9876001316800176,0.9876001316800176,items
alpha_high_item_sensitive,120,60,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,120,0.05,0.05951190357119042,0.05951190357119042,0.9937430990062569,0.9937430990062569,items
alpha_high_item_sensitive,120,100,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,200,0.05,0.046188021535170064,0.046188021535170064,0.9962217368203554,0.9962217368203554,items
alpha_high_item_sensitive,300,5,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,10,0.05,0.2055683179221286,0.2055683179221286,0.9301236030921444,0.9301236030921444,items
alpha_high_item_sensitive,300,10,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,20,0.05,0.1453730832490435,0.1453730832490435,0.9637900508310012,0.9637900508310012,items
alpha_high_item_sensitive,300,15,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,30,0.05,0.1187083260208258,0.1187083260208258,0.9755604052550189,0.9755604052550189,items
alpha_high_item_sensitive,300,30,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,60,0.05,0.08396427811873333,0.08396427811873333,0.9876218066894917,0.9876218066894917,items
alpha_high_item_sensitive,300,60,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,120,0.05,0.05940678973540539,0.05940678973540539,0.9937650444985903,0.9937650444985903,items
alpha_high_item_sensitive,300,100,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,200,0.05,0.04605250626549367,0.04605250626549367,0.9962437919252596,0.9962437919252596,items
alpha_high_item_sensitive,500,5,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,10,0.05,0.20556021015751078,0.20556021015751078,0.9301287298162065,0.9301287298162065,items
alpha_high_item_sensitive,500,10,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,20,0.05,0.1453616180427282,0.1453616180427282,0.9637955554032521,0.9637955554032521,items
alpha_high_item_sensitive,500,15,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,30,0.05,0.11869428517554388,0.11869428517554388,0.9755660450986116,0.9755660450986116,items
alpha_high_item_sensitive,500,30,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,60,0.05,0.08394442606073775,0.08394442606073775,0.9876275868527016,0.9876275868527016,items
alpha_high_item_sensitive,500,60,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,120,0.05,0.05937872795314273,0.05937872795314273,0.9937708967935798,0.9937708967935798,items
alpha_high_item_sensitive,500,100,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,200,0.05,0.04601630145937415,0.04601630145937415,0.996249673451496,0.996249673451496,items
alpha_high_item_sensitive,1000,5,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,10,0.05,0.20555412912417986,0.20555412912417986,0.9301325748963418,0.9301325748963418,items
alpha_high_item_sensitive,1000,10,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,20,0.05,0.14535301854450772,0.14535301854450772,0.9637996838737037,0.9637996838737037,items
alpha_high_item_sensitive,1000,15,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,30,0.05,0.11868375345148693,0.11868375345148693,0.9755702750241002,0.9755702750241002,items
alpha_high_item_sensitive,1000,30,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,60,0.05,0.08392953393571698,0.08392953393571698,0.9876319220195098,0.9876319220195098,items
alpha_high_item_sensitive,1000,60,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,120,0.05,0.059357672910360405,0.059357672910360405,0.9937752860600564,0.9937752860600564,items
alpha_high_item_sensitive,1000,100,"High alpha, item-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.05,0.65,0,Alpha can be high while the treatment effect depends strongly on which words were sampled.,200,0.05,0.04598912915026768,0.04598912915026768,0.996254084641747,0.996254084641747,items
alpha_high_person_sensitive,30,5,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,10,0.65,0.11972189997378647,0.11972189997378647,0.9751516902629298,0.9751516902629298,participants
alpha_high_person_sensitive,30,10,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,20,0.65,0.11919871363959149,0.11919871363959149,0.9753630518026153,0.9753630518026153,participants
alpha_high_person_sensitive,30,15,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,30,0.65,0.11902380714238084,0.11902380714238084,0.9754335260115607,0.9754335260115607,participants
alpha_high_person_sensitive,30,30,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,60,0.65,0.11884864324004714,0.11884864324004714,0.975504010405376,0.975504010405376,participants
alpha_high_person_sensitive,30,60,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,120,0.65,0.1187609644060988,0.1187609644060988,0.9755392564223001,0.9755392564223001,participants
alpha_high_person_sensitive,30,100,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,200,0.65,0.118725874742338,0.118725874742338,0.975553355542227,0.975553355542227,participants
alpha_high_person_sensitive,60,5,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,10,0.65,0.08539125638299666,0.08539125638299666,0.9872029250457038,0.9872029250457038,participants
alpha_high_person_sensitive,60,10,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,20,0.65,0.08465616732800196,0.08465616732800196,0.9874195435927443,0.9874195435927443,participants
alpha_high_person_sensitive,60,15,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,30,0.65,0.08440971508067066,0.08440971508067066,0.9874917709019091,0.9874917709019091,participants
alpha_high_person_sensitive,60,30,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,60,0.65,0.08416254115301731,0.08416254115301731,0.9875640087783467,0.9875640087783467,participants
alpha_high_person_sensitive,60,60,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,120,0.65,0.08403868156985807,0.08403868156985807,0.9876001316800176,0.9876001316800176,participants
alpha_high_person_sensitive,60,100,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,200,0.65,0.08398908659264409,0.08398908659264409,0.9876145815806222,0.9876145815806222,participants
alpha_high_person_sensitive,120,5,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,10,0.65,0.06140711142313514,0.06140711142313514,0.993340936683713,0.993340936683713,participants
alpha_high_person_sensitive,120,10,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,20,0.65,0.060380736442456,0.060380736442456,0.9935602575896963,0.9935602575896963,participants
alpha_high_person_sensitive,120,15,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,30,0.65,0.06003471218109292,0.06003471218109292,0.9936333860817724,0.9936333860817724,participants
alpha_high_person_sensitive,120,30,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,60,0.65,0.059686681931566614,0.059686681931566614,0.9937065253395163,0.9937065253395163,participants
alpha_high_person_sensitive,120,60,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,120,0.65,0.05951190357119042,0.05951190357119042,0.9937430990062569,0.9937430990062569,participants
alpha_high_person_sensitive,120,100,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,200,0.65,0.059441848333756694,0.059441848333756694,0.9937577292267827,0.9937577292267827,participants
alpha_high_person_sensitive,300,5,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,10,0.65,0.04072263907623539,0.04072263907623539,0.9970605178806187,0.9970605178806187,participants
alpha_high_person_sensitive,300,10,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,20,0.65,0.03915780041490244,0.03915780041490244,0.9972814845458305,0.9972814845458305,participants
alpha_high_person_sensitive,300,15,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,30,0.65,0.038622100754188225,0.038622100754188225,0.9973551618670489,0.9973551618670489,participants
alpha_high_person_sensitive,300,30,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,60,0.65,0.03807886552931954,0.03807886552931954,0.9974288500753614,0.9974288500753614,participants
alpha_high_person_sensitive,300,60,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,120,0.65,0.03780432074071252,0.03780432074071252,0.9974656982629319,0.9974656982629319,participants
alpha_high_person_sensitive,300,100,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,200,0.65,0.037693942926328806,0.037693942926328806,0.9974804383002933,0.9974804383002933,participants
alpha_high_person_sensitive,500,5,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,10,0.65,0.0330907842155486,0.0330907842155486,0.998057115481862,0.998057115481862,participants
alpha_high_person_sensitive,500,10,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,20,0.65,0.031144823004794875,0.031144823004794875,0.9982785241450298,0.9982785241450298,participants
alpha_high_person_sensitive,500,15,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,30,0.65,0.030468563033614393,0.030468563033614393,0.9983523488642448,0.9983523488642448,participants
alpha_high_person_sensitive,500,30,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,60,0.65,0.029776948578836393,0.029776948578836393,0.9984261845032423,0.9984261845032423,participants
alpha_high_person_sensitive,500,60,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,120,0.65,0.029425046020921247,0.029425046020921247,0.9984631064184166,0.9984631064184166,participants
alpha_high_person_sensitive,500,100,"High alpha, person-sensitive effect",-0.4,0,0.85,0.35,0.55,0.75,0.65,0.05,0,Alpha can be high while the treatment effect varies across learners.,200,0.65,0.029283100928692646,0.029283100928692646,0.9984778759491088,0.9984778759491088,participants
